model,kind,reference,task,information_set,sharing,metric,estimate,ci_low,ci_high,samples,clusters
bayesian,metric,,bandit,observable,task_specific,r_squared,0.28168154360506525,0.1691153974493032,0.37218387476375986,2000,78
bayesian,metric,,bandit,observable,task_specific,mse,1.65789284647654,1.4286065675757644,1.8954970225981362,2000,78
bayesian,metric,,bandit,observable,task_specific,log_loss,0.5552785781029549,0.45570611117958504,0.6695270602615057,2000,78
bayesian,metric,,bandit,observable,task_specific,brier,0.15755716699632746,0.12775433294730582,0.19209751132880537,2000,78
bayesian,metric,,macro,observable,task_specific,r_squared,0.28168154360506525,0.1691153974493032,0.37218387476375986,2000,78
bayesian,metric,,macro,observable,task_specific,mse,1.65789284647654,1.4286065675757644,1.8954970225981362,2000,78
bayesian,metric,,macro,observable,task_specific,log_loss,0.5552785781029549,0.45570611117958504,0.6695270602615057,2000,78
bayesian,metric,,macro,observable,task_specific,brier,0.15755716699632746,0.12775433294730582,0.19209751132880537,2000,78
value_history_hybrid,metric,,bandit,observable,task_specific,r_squared,0.5494679730372639,0.4759783829707827,0.6129940551921578,2000,78
value_history_hybrid,metric,,bandit,observable,task_specific,mse,1.0378222418871665,0.8924351764971772,1.1887837208654572,2000,78
value_history_hybrid,metric,,bandit,observable,task_specific,log_loss,0.49097430259026087,0.3922739346615686,0.6231157537412075,2000,78
value_history_hybrid,metric,,bandit,observable,task_specific,brier,0.14574279458101277,0.11738685602842078,0.1787010645944393,2000,78
value_history_hybrid,metric,,macro,observable,task_specific,r_squared,0.5494679730372639,0.4759783829707827,0.6129940551921578,2000,78
value_history_hybrid,metric,,macro,observable,task_specific,mse,1.0378222418871665,0.8924351764971772,1.1887837208654572,2000,78
value_history_hybrid,metric,,macro,observable,task_specific,log_loss,0.49097430259026087,0.3922739346615686,0.6231157537412075,2000,78
value_history_hybrid,metric,,macro,observable,task_specific,brier,0.14574279458101277,0.11738685602842078,0.1787010645944393,2000,78
termination_advantage,metric,,bandit,observable,task_specific,r_squared,0.045093445558162554,-0.027255507675617012,0.11515821117303514,2000,78
termination_advantage,metric,,bandit,observable,task_specific,mse,2.211984637487736,1.9169355548851865,2.5300153572363135,2000,78
termination_advantage,metric,,bandit,observable,task_specific,log_loss,0.5941424073180115,0.4852250263151442,0.711090236004692,2000,78
termination_advantage,metric,,bandit,observable,task_specific,brier,0.16254985279076833,0.1310061381081859,0.1966967840179777,2000,78
termination_advantage,metric,,foraging,observable,task_specific,r_squared,0.06496426336131145,-0.006572499598114156,0.13644566344225378,2000,59
termination_advantage,metric,,foraging,observable,task_specific,mse,1.4219201796316026,1.174853277903936,1.672107554739072,2000,59
termination_advantage,metric,,foraging,observable,task_specific,log_loss,0.7065097427853617,0.6605588651386662,0.7633537422497731,2000,59
termination_advantage,metric,,foraging,observable,task_specific,brier,0.25314116789654806,0.23207603966137375,0.2788213640919334,2000,59
termination_advantage,metric,,solvability,observable,task_specific,r_squared,0.02382563373122966,-0.10145678979656518,0.11812550145769111,2000,59
termination_advantage,metric,,solvability,observable,task_specific,mse,6.534236748779335,5.095410389199381,8.061507994502504,2000,59
termination_advantage,metric,,solvability,observable,task_specific,log_loss,0.8167843407212313,0.7446099055602272,0.8916544631617809,2000,59
termination_advantage,metric,,solvability,observable,task_specific,brier,0.3051107330109999,0.27153577335926715,0.33964826825247574,2000,59
termination_advantage,metric,,macro,observable,task_specific,r_squared,0.04462778088356788,-0.006214753856075685,0.08885590010860583,2000,196
termination_advantage,metric,,macro,observable,task_specific,mse,3.3893805219662245,2.8762296540652037,3.9174126581790394,2000,196
termination_advantage,metric,,macro,observable,task_specific,log_loss,0.7058121636082014,0.659088540739767,0.754099269002406,2000,196
termination_advantage,metric,,macro,observable,task_specific,brier,0.2402672512327721,0.2233139711413077,0.2580795397701511,2000,196
sticky_termination,metric,,bandit,observable,task_specific,r_squared,0.19258610019573885,0.06373999080598676,0.30136559917941197,2000,78
sticky_termination,metric,,bandit,observable,task_specific,mse,1.8638245958251691,1.4878088439327497,2.2770488948009073,2000,78
sticky_termination,metric,,bandit,observable,task_specific,log_loss,0.5678096436325796,0.4529395570999002,0.712676996787489,2000,78
