model,reference,information_set,sharing,delta_mse_reference_minus_model,delta_r_squared_model_minus_reference,delta_log_loss_reference_minus_model
finite_history,gru,observable,shared_architecture_task_observation,0.03815779556965815,-0.03510224487739799,-0.00752550043917477
rescorla_wagner,time,observable,shared_architecture_task_observation,0.797766986824783,-0.14340232481024412,0.06902720996907474
rescorla_wagner,choice_inertia,observable,shared_architecture_task_observation,-0.5526797781949389,-0.41527124054465525,0.004105406658253208
rescorla_wagner,gru,observable,shared_architecture_task_observation,-0.5163256924284554,-0.4551722187497317,-0.0024492338203858655
bayesian,time,observable,shared_architecture_task_observation,0.8093103779012105,-0.13842890815699388,0.06574351132180223
bayesian,choice_inertia,observable,shared_architecture_task_observation,-0.5411363871185113,-0.410297823891405,0.0008217080109806929
bayesian,gru,observable,shared_architecture_task_observation,-0.5047823013520278,-0.45019880209648144,-0.00573293246765838
value_history_hybrid,time,observable,shared_architecture_task_observation,1.428159088256209,0.1281991963180446,0.12838264435562546
value_history_hybrid,choice_inertia,observable,shared_architecture_task_observation,0.07771232323648714,-0.14366971941636653,0.06346084104480393
value_history_hybrid,gru,observable,shared_architecture_task_observation,0.1140664090029706,-0.18357069762144296,0.056906200566164855
termination_advantage,time,observable,shared_architecture_task_observation,-0.922571585577403,-0.372674006922039,-0.08435328031124056
termination_advantage,choice_inertia,observable,shared_architecture_task_observation,-2.273018350597125,-0.6445429226564502,-0.1492750836220621
termination_advantage,gru,observable,shared_architecture_task_observation,-2.236664264830641,-0.6844439008615266,-0.15582972410070117
sticky_termination,time,observable,shared_architecture_task_observation,-0.1678669440725966,-0.0655354928679639,-0.020282692353434384
sticky_termination,choice_inertia,observable,shared_architecture_task_observation,-1.5183137090923184,-0.337404408602375,-0.08520449566425592
sticky_termination,gru,observable,shared_architecture_task_observation,-1.481959623325835,-0.37730538680745146,-0.09175913614289499
decomposed_meta_control,time,observable,shared_architecture_task_observation,1.1709421071910735,0.13895233838843263,0.05423125426667863
decomposed_meta_control,choice_inertia,observable,shared_architecture_task_observation,-0.17950465782864833,-0.1329165773459785,-0.010690549044142905
decomposed_meta_control,gru,observable,shared_architecture_task_observation,-0.14315057206216486,-0.17281755555105494,-0.01724518952278198
mvt_like_foraging_threshold,time,observable,shared_architecture_task_observation,2.03012624464375,0.29141555833957405,-0.021726607584644952
mvt_like_foraging_threshold,choice_inertia,observable,shared_architecture_task_observation,0.6796794796240282,0.019546642605162923,-0.08664841089546649
mvt_like_foraging_threshold,gru,observable,shared_architecture_task_observation,0.7160335653905117,-0.02035433559991351,-0.09320305137410556
disengagement_accumulator,time,observable,shared_architecture_task_observation,-0.922571585577403,-0.372674006922039,-0.08435328031124056
disengagement_accumulator,choice_inertia,observable,shared_architecture_task_observation,-2.273018350597125,-0.6445429226564502,-0.1492750836220621
disengagement_accumulator,gru,observable,shared_architecture_task_observation,-2.236664264830641,-0.6844439008615266,-0.15582972410070117
latent_commitment,time,observable,shared_architecture_task_observation,-0.5067348948395787,-0.28102213712288054,-0.04544602067347836
