key,feature_type,layer,rank,persistence_sensitivity,persistence_positive_fraction,cross_manipulation_transfer,cross_task_transfer,random_95th,classification,nuisance_arbitrary_choice,nuisance_generic_value,nuisance_label,nuisance_terminality
static-L31-k1,static,31,1,0.2646963894367218,0.9774605631828308,0.036677129287272695,0.029766781410823267,0.0010878597386181355,no_persistence_specific_candidate,0.0010243868455290794,0.005116656422615051,0.023172203451395035,0.010428178124129772
static-L31-k2,static,31,2,0.5491499304771423,0.9706987142562866,0.2256314367055893,0.14627051601807275,0.0018085179617628455,no_persistence_specific_candidate,0.030690176412463188,0.06321834772825241,0.08216649293899536,0.10998138040304184
static-L31-k4,static,31,4,0.7059622406959534,0.976709246635437,0.3086730182170868,0.1987987607717514,0.0028171876911073923,no_persistence_specific_candidate,0.1255822479724884,0.2555270195007324,0.26001864671707153,0.30933648347854614
displacement-L00-k1,displacement,0,1,0.03620309755206108,0.8715251684188843,0.02322609443217516,0.021463964134454727,0.0006600904744118452,no_persistence_specific_candidate,0.03500524163246155,0.033124037086963654,0.0050972746685147285,0.020019982010126114
displacement-L00-k2,displacement,0,2,0.17216648161411285,0.7325319051742554,0.1511220309883356,0.12009008787572384,0.0013282023137435317,no_persistence_specific_candidate,0.08518360555171967,0.3097492754459381,0.1576554775238037,0.19200006127357483
displacement-L00-k4,displacement,0,4,0.255498468875885,0.734034538269043,0.18456869050860406,0.14472597713271776,0.0020327765960246325,no_persistence_specific_candidate,0.11153177171945572,0.34520190954208374,0.17075388133525848,0.21388283371925354
displacement-L01-k1,displacement,1,1,0.06952501088380814,0.7317805886268616,0.048999914526939393,0.038452982902526855,0.0007652390049770474,no_persistence_specific_candidate,0.03425722196698189,0.03772302716970444,0.029068589210510254,0.03361300751566887
displacement-L01-k2,displacement,1,2,0.2143174707889557,0.5289255976676941,0.18741191029548646,0.16946802039941153,0.001081030466593802,no_persistence_specific_candidate,0.07862747460603714,0.11876706779003143,0.16479282081127167,0.13659413158893585
displacement-L01-k4,displacement,1,4,0.27233055233955383,0.6453794240951538,0.2680837482213974,0.22750976185003915,0.002010311698541045,no_persistence_specific_candidate,0.11471422761678696,0.16191580891609192,0.2008986473083496,0.18834108114242554
displacement-L02-k1,displacement,2,1,0.04315187409520149,0.9023290872573853,0.039336394891142844,0.0295724564542373,0.0006066986825317144,no_persistence_specific_candidate,0.0185028538107872,0.022352581843733788,0.023056771606206894,0.02521689049899578
displacement-L02-k2,displacement,2,2,0.11199306696653366,0.6934635639190674,0.08054802641272545,0.06620701402425766,0.0011025487910956144,no_persistence_specific_candidate,0.026706624776124954,0.07716889679431915,0.056347109377384186,0.06076015904545784
displacement-L02-k4,displacement,2,4,0.213609978556633,0.7911344766616821,0.2185269594192505,0.14781772593657175,0.0020926729775965214,no_persistence_specific_candidate,0.07934079319238663,0.10661125183105469,0.09511802345514297,0.11783803999423981
displacement-L03-k1,displacement,3,1,0.0491529256105423,0.9128474593162537,0.07153076827526092,0.06401886977255344,0.0005993533995933831,no_persistence_specific_candidate,0.028580235317349434,0.029945572838187218,0.03541214391589165,0.05789917707443237
